@relation vehicledata

@attribute wheels numeric
@attribute chassis numeric
@attribute pax numeric
@attribute vtype {Bus,Car,Bike}

@data
8,13,49,Bus
4,1,1,Car
5,2,3,Car
5,3,3,Car
5,4,2,Car
1,1,1,Bike
1,1,1,Bike
5,1,1,Car
5,1,1,Car
4,3,3,Car
4,4,1,Car
9,20,30,Bus
5,4,4,Car
5,4,1,Car
1,1,1,Bike
5,1,1,Car
6,21,35,Bus
1,1,1,Bike
1,1,1,Bike
1,1,1,Bike
7,21,41,Bus
1,1,1,Bike
4,21,45,Bus
1,1,1,Bike
1,1,1,Bike
6,17,55,Bus
4,4,1,Car
5,4,2,Car
5,1,2,Car
5,2,1,Car
5,4,2,Car
4,1,2,Car
8,22,38,Bus
9,23,54,Bus
6,22,57,Bus
8,21,54,Bus
1,1,1,Bike
4,4,2,Car
6,14,43,Bus
5,1,4,Car
1,1,1,Bike
5,1,3,Car
1,1,1,Bike
9,18,35,Bus
5,17,32,Bus
5,2,4,Car
4,2,1,Car
9,20,38,Bus
1,1,1,Bike
1,1,1,Bike
1,1,1,Bike
1,1,1,Bike
7,21,58,Bus
1,1,1,Bike
1,1,1,Bike
7,16,30,Bus
5,18,47,Bus
1,1,1,Bike
5,3,1,Car
5,1,2,Car
1,1,1,Bike
9,15,41,Bus
4,19,59,Bus
4,2,4,Car
4,3,1,Car
5,4,3,Car
4,2,2,Car
9,14,34,Bus
4,1,2,Car
5,20,44,Bus
5,21,37,Bus
4,20,46,Bus
6,15,49,Bus
5,1,2,Car
8,17,45,Bus
4,1,4,Car
1,1,1,Bike
8,12,46,Bus
1,1,1,Bike
1,1,1,Bike
5,1,2,Car
7,19,35,Bus
9,12,34,Bus
7,21,37,Bus
1,1,1,Bike
5,4,3,Car
4,4,2,Car
4,14,35,Bus
1,1,1,Bike
8,12,48,Bus
4,15,51,Bus
8,19,46,Bus
1,1,1,Bike
5,4,4,Car
5,2,2,Car
4,1,1,Car
6,19,45,Bus
4,22,32,Bus
6,19,42,Bus
9,22,42,Bus
5,2,4,Car
1,1,1,Bike
1,1,1,Bike
5,2,2,Car
5,3,1,Car
8,20,37,Bus
4,1,3,Car
5,2,4,Car
9,13,36,Bus
5,4,3,Car
1,1,1,Bike
4,3,3,Car
1,1,1,Bike
